epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3465,1.37639,3.21642,1.49022,0.46484,0.50871,0.54501,0.35614,1.17595,2.54632,1.36474,9.09e-05,9.09e-05,9.09e-05
2,36.6581,1.22418,1.70975,1.356,0.62443,0.77968,0.80285,0.54501,1.16776,1.79196,1.32055,0.00018774,0.00018774,0.00018774
3,48.7233,1.26097,1.5367,1.41068,0.8127,0.74616,0.82044,0.52329,1.27741,1.30873,1.34472,0.000281281,0.000281281,0.000281281
4,57.4362,1.1666,1.12002,1.2651,0.78271,0.84191,0.86889,0.56182,1.27915,1.09646,1.42545,0.000371522,0.000371522,0.000371522
5,69.4443,1.21318,1.04524,1.30032,0.82799,0.76015,0.87111,0.55548,1.30788,0.99681,1.50781,0.000458463,0.000458463,0.000458463
6,80.9983,1.14136,0.95764,1.25147,0.84654,0.74329,0.87332,0.53301,1.36989,1.11371,1.54795,0.000542105,0.000542105,0.000542105
7,91.4391,1.22073,0.97608,1.29988,0.77796,0.74341,0.77843,0.46096,1.42497,1.17875,1.57472,0.000622447,0.000622447,0.000622447
8,100.804,1.29397,1.09273,1.43556,0.63189,0.67018,0.72927,0.45674,1.38578,1.26075,1.58653,0.000699489,0.000699489,0.000699489
9,111.613,1.1624,0.86618,1.30693,0.63202,0.74595,0.78475,0.51508,1.31555,1.1196,1.52216,0.000773232,0.000773232,0.000773232
10,120.894,1.18066,1.12005,1.33027,0.83849,0.7212,0.85992,0.55037,1.26016,1.09277,1.50064,0.000774013,0.000774013,0.000774013
11,130.171,1.28981,1.04915,1.47918,0.7998,0.79982,0.85061,0.53172,1.25006,1.14558,1.53507,0.000759015,0.000759015,0.000759015
12,140.534,1.23047,0.91883,1.30244,0.7169,0.6417,0.71534,0.40854,1.41691,1.34723,1.60405,0.000744016,0.000744016,0.000744016
13,151.564,1.17196,0.86848,1.27722,0.73222,0.69347,0.76897,0.44789,1.47207,1.34339,1.66225,0.000729018,0.000729018,0.000729018
14,161.887,1.17751,0.8601,1.30714,0.68917,0.74184,0.7576,0.44816,1.50419,1.28154,1.68379,0.000714019,0.000714019,0.000714019
15,170.841,1.17585,0.8091,1.30337,0.67628,0.79285,0.82645,0.51605,1.40846,1.09907,1.53731,0.000699021,0.000699021,0.000699021
16,181.161,1.15646,0.79319,1.30643,0.53132,0.77057,0.70992,0.42656,1.53405,1.45431,1.69117,0.000684022,0.000684022,0.000684022
17,191.577,1.07793,0.79129,1.24675,0.86338,0.78568,0.91119,0.59193,1.29585,0.85757,1.47508,0.000669024,0.000669024,0.000669024
18,201.278,1.08637,0.77371,1.23677,0.8196,0.89185,0.93931,0.59998,1.33509,0.7879,1.57119,0.000654025,0.000654025,0.000654025
19,213.26,1.07605,0.75118,1.24474,0.80072,0.90362,0.93696,0.61234,1.28924,0.79737,1.45642,0.000639027,0.000639027,0.000639027
20,224.241,1.07826,0.74097,1.24147,0.83295,0.81858,0.90471,0.5936,1.29237,0.87736,1.44533,0.000624028,0.000624028,0.000624028
21,235.277,1.01148,0.68166,1.18789,0.76073,0.79912,0.89641,0.56704,1.35747,1.63517,1.47819,0.00060903,0.00060903,0.00060903
22,245.168,1.00874,0.68038,1.20873,0.81501,0.75089,0.83593,0.53108,1.41371,1.12632,1.50987,0.000594031,0.000594031,0.000594031
23,254.359,1.02606,0.70745,1.18397,0.93252,0.82966,0.94929,0.6091,1.31411,0.69287,1.41987,0.000579033,0.000579033,0.000579033
24,263.962,1.03948,0.72441,1.18989,0.90581,0.90592,0.94893,0.62036,1.32595,0.68808,1.44018,0.000564034,0.000564034,0.000564034
25,273.431,1.03525,0.70266,1.24489,0.94702,0.91679,0.9607,0.61704,1.36238,0.68808,1.45977,0.000549036,0.000549036,0.000549036
26,285.308,0.96585,0.66099,1.19958,0.9478,0.94759,0.98012,0.63502,1.33033,0.66847,1.42741,0.000534037,0.000534037,0.000534037
27,295.255,1.08229,0.75521,1.27573,0.89843,0.96915,0.98434,0.65495,1.26871,0.63379,1.41758,0.000519039,0.000519039,0.000519039
28,303.697,1.0565,0.65903,1.26586,0.90003,0.91471,0.98021,0.64137,1.30617,0.61466,1.45383,0.00050404,0.00050404,0.00050404
29,314.672,0.99802,0.64166,1.19179,0.96281,0.90329,0.97677,0.64839,1.32525,0.6176,1.43567,0.000489042,0.000489042,0.000489042
30,325.603,1.06647,0.77007,1.32751,0.95475,0.93108,0.97493,0.63882,1.28519,0.61843,1.39635,0.000474043,0.000474043,0.000474043
31,335.54,1.06781,0.74209,1.28779,0.93461,0.97493,0.98779,0.65397,1.29134,0.59197,1.38836,0.000459045,0.000459045,0.000459045
32,346.246,0.97075,0.59699,1.18431,0.94882,0.88003,0.95724,0.60602,1.35333,0.71376,1.42738,0.000444046,0.000444046,0.000444046
33,356.896,0.94623,0.63314,1.14481,0.90328,0.89599,0.96395,0.62271,1.32344,0.68419,1.44886,0.000429048,0.000429048,0.000429048
